start_station_id,end_station_id,avg(duration),trips,user_type
72,72,1828.5219,228,Customer
72,72,1234.2715,534,Subscriber
72,127,1899.9375,32,Customer
72,127,1339.8514,175,Subscriber
72,153,1184.4545,11,Customer
72,168,1167.6301,173,Subscriber
72,173,891.9643,28,Customer
72,173,466.4092,677,Subscriber
72,212,1443.2523,111,Customer
72,212,881.5559,340,Subscriber
72,225,1282.4348,23,Customer
72,225,921.9328,119,Subscriber
72,238,1613.7308,130,Customer
72,238,1187.4082,196,Subscriber
72,247,1711.3333,12,Customer
72,267,845.8397,131,Subscriber
72,281,1512.4800,25,Customer
72,284,1669.5600,25,Customer
72,284,1137.7206,136,Subscriber
72,304,2572.0769,13,Customer
72,309,2012.2121,33,Customer
72,309,1645.2920,113,Subscriber
72,327,1993.1200,25,Customer
72,327,1582.2308,130,Subscriber
72,328,1660.1556,45,Customer
72,328,1330.7747,182,Subscriber
72,346,1636.6000,15,Customer
72,347,1885.5385,52,Customer
72,347,1256.5600,200,Subscriber
72,358,1695.7500,108,Customer
72,358,1296.6353,266,Subscriber
72,359,694.2652,313,Subscriber
72,363,2539.7500,12,Customer
72,368,1963.5333,30,Customer
72,368,1469.0570,158,Subscriber
72,377,1539.6364,11,Customer
72,379,995.0584,137,Subscriber
72,380,1585.4167,12,Customer
72,383,4519.9091,11,Customer
72,388,2076.2857,35,Customer
72,388,767.0743,148,Subscriber
72,405,1551.7984,124,Customer
72,405,1167.4514,175,Subscriber
72,423,1920.0000,11,Customer
72,423,397.8678,121,Subscriber
72,426,1749.7395,215,Customer
72,426,1427.7108,702,Subscriber
72,427,1789.3852,122,Subscriber
72,434,1267.0000,18,Customer
72,434,1000.4952,105,Subscriber
72,435,1226.3611,144,Subscriber
72,441,925.7928,111,Subscriber
72,442,861.1905,273,Subscriber
72,446,1258.0526,19,Customer
72,446,938.4688,224,Subscriber
72,447,976.6786,28,Customer
72,447,343.0931,612,Subscriber
72,448,1033.3077,13,Customer
72,448,724.2877,219,Subscriber
72,449,624.3125,32,Customer
72,449,305.3314,338,Subscriber
72,450,1298.8667,15,Customer
72,450,356.4559,408,Subscriber
72,456,1033.1818,11,Customer
72,457,1103.6905,42,Customer
72,457,609.0522,249,Subscriber
72,458,1423.2556,133,Customer
72,458,663.4837,459,Subscriber
72,459,1286.1128,328,Customer
72,459,799.4155,633,Subscriber
72,462,1918.1724,58,Customer
72,462,887.9815,216,Subscriber
72,465,3830.4167,12,Customer
72,465,675.8315,273,Subscriber
72,468,1471.0526,19,Customer
72,468,496.5341,410,Subscriber
72,469,1561.4737,19,Customer
72,469,510.8709,302,Subscriber
72,477,671.2685,216,Subscriber
72,478,681.9756,41,Customer
72,478,370.0985,660,Subscriber
72,479,1068.2917,24,Customer
72,479,411.6506,621,Subscriber
72,480,2292.3333,18,Customer
72,480,712.3304,112,Subscriber
72,484,943.4426,235,Subscriber
72,488,535.1854,205,Subscriber
72,490,1379.6071,28,Customer
72,490,783.0881,1645,Subscriber
72,492,1312.2857,14,Customer
72,492,969.7315,108,Subscriber
72,495,432.3394,218,Subscriber
72,498,907.3708,178,Subscriber
72,499,1271.6154,26,Customer
72,499,624.0370,162,Subscriber
72,500,881.5652,23,Customer
72,500,407.3565,432,Subscriber
72,508,722.9718,71,Customer
72,508,329.2721,294,Subscriber
72,509,1053.5524,105,Subscriber
72,513,1292.5833,12,Customer
72,514,914.3727,220,Customer
72,514,483.8486,700,Subscriber
72,515,464.7198,182,Subscriber
72,519,1091.9091,11,Customer
72,519,908.2090,536,Subscriber
72,520,937.7692,26,Customer
72,520,552.7023,309,Subscriber
72,523,947.3571,14,Customer
72,523,703.3450,342,Subscriber
72,524,755.7951,205,Subscriber
72,525,909.1517,178,Customer
72,525,579.1549,452,Subscriber
72,529,941.7778,18,Customer
72,529,491.1547,569,Subscriber
72,530,1817.5000,24,Customer
72,530,402.2054,297,Subscriber
72,540,1303.5000,114,Subscriber
72,2006,1368.6724,58,Customer
72,2006,821.9286,126,Subscriber
72,2008,2125.2586,58,Customer
72,2008,1808.9900,201,Subscriber
72,2021,945.3333,27,Customer
72,2021,450.2673,520,Subscriber
72,3002,1973.0357,28,Customer
72,3002,1640.5353,241,Subscriber
72,3137,1741.8919,37,Customer
72,3143,1675.5000,14,Customer
72,3158,1582.5217,23,Customer
72,3160,1633.7059,17,Customer
72,3162,1113.2632,38,Customer
72,3163,1653.2895,38,Customer
72,3164,1225.5833,12,Customer
72,3165,1428.3667,30,Customer
72,3166,1313.2586,58,Customer
72,3166,964.1296,162,Subscriber
72,3167,1101.1905,21,Customer
72,3167,805.3503,157,Subscriber
72,3169,1612.4359,39,Customer
72,3173,1096.5333,45,Customer
72,3173,709.3559,222,Subscriber
72,3175,825.3854,205,Subscriber
72,3176,381.4251,167,Subscriber
72,3177,1241.0909,11,Customer
72,3178,1404.5238,84,Customer
72,3224,1533.4038,52,Customer
72,3224,1022.6771,192,Subscriber
72,3233,864.9444,18,Customer
72,3233,672.4102,451,Subscriber
72,3235,817.9245,106,Subscriber
72,3236,1095.3529,17,Customer
72,3236,420.4775,534,Subscriber
72,3243,1365.0000,11,Customer
72,3255,2819.8824,17,Customer
72,3255,951.1759,307,Subscriber
72,3256,1547.3364,330,Customer
72,3256,1372.8401,319,Subscriber
72,3258,1297.3333,24,Customer
72,3258,745.1238,105,Subscriber
72,3259,1380.4800,25,Customer
72,3282,1739.5625,16,Customer
72,3307,1720.3125,16,Customer
72,3307,1522.4737,114,Subscriber
72,3314,1956.1429,21,Customer
72,3331,2084.0370,54,Customer
72,3331,1649.6373,102,Subscriber
72,3360,1457.9565,23,Customer
72,3383,2475.0270,37,Customer
72,3383,1654.7265,117,Subscriber
72,3428,1085.0780,218,Subscriber
72,3434,1909.8235,17,Customer
72,3436,1357.5946,148,Subscriber
72,3437,1827.0000,43,Customer
72,3443,753.7209,43,Customer
72,3443,470.6404,406,Subscriber
72,3445,1852.6591,44,Customer
72,3457,2033.9091,11,Customer
72,3458,1006.0526,19,Customer
72,3458,613.8295,129,Subscriber
72,3466,1293.2500,12,Customer
72,3472,1342.5753,73,Customer
72,3536,2181.2308,13,Customer
79,72,1441.9868,151,Subscriber
79,79,2546.2222,72,Customer
79,79,1304.2336,321,Subscriber
79,127,891.0667,15,Customer
79,127,632.2281,320,Subscriber
79,128,845.8000,15,Customer
79,128,464.7037,189,Subscriber
79,146,508.5714,14,Customer
79,146,228.6224,519,Subscriber
79,151,1209.9250,40,Customer
79,151,512.7007,274,Subscriber
79,152,1015.6364,33,Customer
79,152,256.3208,480,Subscriber
79,161,833.7436,39,Customer
79,161,554.3494,269,Subscriber
79,195,1377.6393,61,Customer
79,195,533.9449,236,Subscriber
79,212,1461.9000,20,Customer
79,225,1431.6316,19,Customer
79,229,1197.7857,14,Customer
79,229,652.8759,282,Subscriber
79,232,2070.0000,11,Customer
79,238,2097.0625,16,Customer
79,238,738.7319,138,Subscriber
79,249,601.7586,203,Subscriber
79,251,1542.0714,14,Customer
79,251,568.8326,215,Subscriber
79,252,1280.6667,12,Customer
79,254,1175.0000,14,Customer
79,257,236.4032,439,Subscriber
79,264,600.3172,186,Subscriber
79,265,1284.6250,16,Customer
79,268,760.6364,22,Customer
79,268,418.0653,199,Subscriber
79,276,667.1875,16,Customer
79,276,325.4359,351,Subscriber
79,279,1330.4167,12,Customer
79,284,1532.3478,23,Customer
79,284,769.4865,111,Subscriber
79,293,2316.9091,11,Customer
79,293,751.4633,300,Subscriber
79,303,1066.4231,26,Customer
79,303,452.4667,165,Subscriber
79,304,1524.6296,81,Customer
79,304,798.5909,198,Subscriber
79,306,570.7323,127,Subscriber
79,308,974.7273,11,Customer
79,309,866.2667,45,Customer
79,309,365.8357,414,Subscriber
79,312,722.3670,109,Subscriber
79,319,1046.4725,91,Customer
79,319,486.4277,173,Subscriber
79,320,3412.8462,13,Customer
79,320,600.6627,166,Subscriber
79,327,1285.1579,57,Customer
79,327,543.9807,569,Subscriber
79,328,541.0169,178,Subscriber
79,330,299.5574,183,Subscriber
79,335,641.6581,234,Subscriber
79,336,1225.7692,13,Customer
79,345,1288.1818,11,Customer
79,346,1238.8462,13,Customer
79,346,736.2703,111,Subscriber
79,347,1153.4375,16,Customer
79,347,515.3891,221,Subscriber
79,348,1010.1739,23,Customer
79,348,406.1650,206,Subscriber
79,355,505.5714,14,Customer
79,355,333.9900,401,Subscriber
79,357,743.5327,107,Subscriber
79,358,1662.4444,18,Customer
79,358,608.0818,220,Subscriber
79,360,589.2377,122,Subscriber
79,363,1161.8750,32,Customer
79,363,729.2903,341,Subscriber
79,368,1098.1905,21,Customer
79,368,685.9112,259,Subscriber
79,369,861.7143,14,Customer
79,376,630.6023,176,Subscriber
79,377,977.5000,20,Customer
79,377,294.4110,163,Subscriber
79,380,742.6441,118,Subscriber
79,382,1398.0556,18,Customer
79,382,858.9455,220,Subscriber
79,386,290.3991,218,Subscriber
79,387,1190.9383,81,Customer
79,387,429.9167,216,Subscriber
79,392,1645.6000,15,Customer
79,401,840.6262,107,Subscriber
79,405,1472.3125,48,Customer
79,405,928.1101,109,Subscriber
79,417,673.6250,152,Customer
79,417,309.1944,828,Subscriber
79,426,1243.6579,38,Customer
79,426,431.1714,525,Subscriber
